BLUE_spring,GREEN_spring,RED_spring,NIR_spring,SWIR1_spring,SWIR2_spring,BLUE_early_summer,GREEN_early_summer,RED_early_summer,NIR_early_summer,SWIR1_early_summer,SWIR2_early_summer,BLUE,GREEN,RED,NIR,SWIR1,SWIR2,BLUE_late_summer,GREEN_late_summer,RED_late_summer,NIR_late_summer,SWIR1_late_summer,SWIR2_late_summer,BLUE_fall,GREEN_fall,RED_fall,NIR_fall,SWIR1_fall,SWIR2_fall,BLUE_rmse,GREEN_rmse,RED_rmse,NIR_rmse,SWIR1_rmse,SWIR2_rmse,AGB
0.0437,0.0515,0.05325,0.164,0.1045,0.0641,0.037,0.04975,0.0498,0.16715,0.12165,0.06935,0.0224,0.04245,0.03425,0.2628,0.1313,0.06565,0.02275,0.0377,0.03305,0.19105,0.11155,0.05765,0.03355,0.0432,0.04025,0.13995,0.08115,0.04655,0.01,0.0079,0.0079,0.007,0.0098,0.01,160.944704903218
0.241,0.2771,0.2929,0.3604,0.1319,0.0913,0.2123,0.2504,0.2636,0.3498,0.1307,0.0861,0.0896,0.1201,0.1284,0.285,0.1699,0.1077,0.0434,0.068,0.0794,0.2423,0.2203,0.1434,0.0626,0.0927,0.1122,0.2489,0.2504,0.1757,0.0085,0.0085,0.0094,0.0086,0.0085,0.0084,0.0
0.0262333333333333,0.0449333333333333,0.0367666666666666,0.2195,0.0866,0.0456,0.0257,0.0442,0.0358666666666666,0.2192,0.0946666666666666,0.0457666666666666,0.0232666666666666,0.0396,0.0286333333333333,0.2748333333333334,0.0969,0.0409,0.0225,0.0377333333333333,0.0263,0.2522333333333333,0.0864333333333333,0.0368666666666666,0.0228666666666666,0.0381,0.0274666666666666,0.2044333333333333,0.0715666666666666,0.0351,0.0085,0.0085,0.0094,0.0086,0.0085,0.0084,23.8672683116856
0.0937,0.1341,0.1851,0.3377,0.3921,0.2601,0.0741,0.1112,0.1447,0.3253,0.3516,0.2198,0.0297,0.0605,0.05,0.3849,0.2075,0.0951,0.0388,0.0699,0.0629,0.3684,0.2581,0.1274,0.0492,0.0837,0.0852,0.3665,0.2898,0.1532,0.0085,0.0085,0.0094,0.0086,0.0085,0.0084,5.999999999999999
0.03875,0.0457,0.052575,0.164225,0.127125,0.075675,0.034275,0.044275,0.0457,0.17505,0.13425,0.0815,0.016925,0.031325,0.00895,0.3569,0.0988,0.0254,0.021275,0.0324,0.020925,0.270625,0.105825,0.037075,0.028025,0.035825,0.0323,0.1431,0.086075,0.047775,0.0099,0.0088,0.0099,0.0088,0.0085,0.0087,149.312209421232
0.0489,0.0705,0.0881,0.2498,0.256,0.134,0.0526,0.0731,0.0866,0.2427,0.2576,0.1385,0.0397,0.0614,0.053,0.3349,0.2126,0.0911,0.0432,0.0639,0.0718,0.2747,0.2315,0.1122,0.0501,0.0697,0.0945,0.2183,0.2663,0.1486,0.0099,0.0088,0.0099,0.0088,0.0085,0.0087,0.0
0.059,0.0902,0.123,0.2754,0.2611,0.1619,0.0567,0.0884,0.1207,0.2764,0.2758,0.1847,0.0408,0.0723,0.0707,0.3764,0.2385,0.1231,0.0405,0.0687,0.0594,0.3419,0.2314,0.1121,0.0403,0.0698,0.0722,0.2635,0.2311,0.1289,0.0102,0.0098,0.0101,0.0097,0.0106,0.0122,31.0
0.1355,0.1414,0.1642,0.2908,0.3315,0.2012,0.0786,0.0945,0.1094,0.2814,0.3088,0.1747,0.048,0.0731,0.0639,0.3628,0.2437,0.1164,0.0532,0.0741,0.0827,0.3227,0.2796,0.1426,0.0607,0.0787,0.1095,0.2905,0.348,0.1961,0.0102,0.0098,0.0101,0.0097,0.0106,0.0122,0.0
0.0428,0.0696,0.0897,0.2198,0.1943,0.1271,0.0428,0.069,0.0842,0.2297,0.1961,0.1244,0.0251,0.0493,0.0345,0.3179,0.1594,0.0734,0.0235,0.0458,0.041,0.2602,0.159,0.0803,0.0304,0.0525,0.056,0.1879,0.1533,0.0836,0.0083,0.0078,0.0083,0.0098,0.0112,0.0115,44.0
0.058,0.0743,0.0822,0.1547,0.2418,0.1697,0.0572,0.0729,0.0811,0.1617,0.2356,0.1641,0.051,0.0649,0.0721,0.1584,0.2099,0.1446,0.0506,0.0638,0.0714,0.1464,0.1996,0.138,0.0526,0.0654,0.0723,0.1305,0.1926,0.1343,0.0083,0.0078,0.0083,0.0098,0.0112,0.0115,0.0
